EXP_NAME,FILENAME,MEDIA,PRED_ROI,DPG,TRUE_ROI,APE_ROI,USE_PROPHET,CALIBRATION_FACEBOOK,CALIBRATION_TV,CALIBRATION_SEARCH,SEGMENT_NAME
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_40_2.json,Facebook,4.0458,dgp3_1000_3_01,4.036197363921071,0.002379129465958637,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_53_6.json,Facebook,4.0394,dgp3_1000_3_01,4.036197363921071,0.000793478561667194,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_48_11.json,Facebook,3.9142,dgp3_1000_3_01,4.036197363921071,0.03022581725353315,1,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_Facebook_spend_TV,RobynModel-1_16_5.json,Facebook,3.0056,dgp3_1000_3_01,4.036197363921071,0.25533869407215254,1,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_TV,RobynModel-1_23_15.json,Facebook,2.2764,dgp3_1000_3_01,4.036197363921071,0.43600379397985356,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_33_3.json,Facebook,3.0238,dgp3_1000_3_01,4.036197363921071,0.25082949931307386,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_29_5.json,Facebook,2.8798,dgp3_1000_3_01,4.036197363921071,0.2865066446596303,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_32_9.json,Facebook,2.1608,dgp3_1000_3_01,4.036197363921071,0.46464461343861696,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_28_4.json,Facebook,2.3424,dgp3_1000_3_01,4.036197363921071,0.41965176902934853,0,0,1,0,2. TV
prophet_FALSE_calib_spend_TV,RobynModel-1_31_7.json,Facebook,4.7567,dgp3_1000_3_01,4.036197363921071,0.17851025881920166,0,0,1,0,2. TV
prophet_TRUE_calib_,RobynModel-1_17_4.json,TV,2.9499,dgp3_1000_3_01,2.106915603673,0.4001035422858988,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-2_40_7.json,TV,3.6297,dgp3_1000_3_01,2.106915603673,0.7227552891403529,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_34_6.json,TV,6.4018,dgp3_1000_3_01,2.106915603673,2.038470069156875,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_44_10.json,TV,5.3949,dgp3_1000_3_01,2.106915603673,1.5605676803546544,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_27_15.json,TV,1.1234,dgp3_1000_3_01,2.106915603673,0.46680351218550503,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_57_12.json,TV,4.4936,dgp3_1000_3_01,2.106915603673,1.1327859512579799,1,0,0,0,0. None
prophet_TRUE_calib_spend_Facebook,RobynModel-2_33_6.json,TV,2.424,dgp3_1000_3_01,2.106915603673,0.1504969614227664,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_44_9.json,TV,4.7348,dgp3_1000_3_01,2.106915603673,1.247266094449057,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_42_15.json,TV,4.1245,dgp3_1000_3_01,2.106915603673,0.9576009560182345,1,1,0,0,1. Facebook
